genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Centrodora,giraulti,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,grotiusi,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,haeckeli,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,hamira,2,20.5431241,77.1828462,31.9292352,84.6897321
Centrodora,hexatricha,5,26.4073841,17.0118954,48.7411522,93.2551303
Centrodora,homopterae,1,14.4750607,-14.4529611,14.4750607,-14.4529611
Centrodora,idioceri,8,-6.3472901,74.0855134,34.0476564,120.9820179
Centrodora,inconspicua,1,-24.7761085,134.755,-24.7761085,134.755
Centrodora,insulana,2,10.2188344,78.6677428,22.3511148,92.5771329
Centrodora,italica,1,40.0912813,9.0305773,40.0912813,9.0305773
Centrodora,lakma,1,27.1303344,80.859666,27.1303344,80.859666
Centrodora,liebermanni,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816
Centrodora,lineascapa,2,27.1303344,80.859666,35.000074,104.999927
Centrodora,livens,7,40.0028028,-4.0031039,59.6749712,15.4749544
Centrodora,locustarum,6,23.9739374,-0.540240236617,52.7954791,120.9820179
Centrodora,mala,1,20.5431241,84.6897321,20.5431241,84.6897321
Centrodora,mandiana,1,31.9292352,77.1828462,31.9292352,77.1828462
Centrodora,maxima,1,-24.7761085,134.755,-24.7761085,134.755
Centrodora,merceti,2,-34.9964962,-64.9672816,40.0028028,-4.0031039
Centrodora,miltoni,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,mireyae,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816
Centrodora,ochrura,3,47.1817585,15.4749544,49.8167003,19.5060937
Centrodora,oophaga,1,10.9094334,78.3665347,10.9094334,78.3665347
Centrodora,orchelimumis,3,37.1232245,-89.4339808,40.9699889,-77.727883
Centrodora,orthopterae,1,27.7567667,-81.4639834,27.7567667,-81.4639834
Centrodora,ossira,1,20.5431241,84.6897321,20.5431241,84.6897321
Centrodora,pathania,1,30.9293211,75.5004841,30.9293211,75.5004841
Centrodora,penthimiae,1,-28.8166235,24.991639,-28.8166235,24.991639
Centrodora,perkinsi,3,-34.9964962,-64.9672816,4.8417097,-56.0201524
Centrodora,salicis,1,47.1817585,19.5060937,47.1817585,19.5060937
Centrodora,scolypopae,2,-41.500083,147.2869493,-31.8759834,172.8344077
Centrodora,speciosissima,18,37.1232245,-98.5821871,64.6863136,97.7453061
Centrodora,terrigena,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,tetratricha,1,27.1303344,80.859666,27.1303344,80.859666
Centrodora,tibialis,1,51.0834196,10.4234469,51.0834196,10.4234469
Centrodora,tomaspidis,4,-34.9964962,-75.0,15.0000001,-38.3087922
Centrodora,tropicalis,1,19.4325301,-99.1332101,19.4325301,-99.1332101
Centrodora,uttara,1,27.1303344,80.859666,27.1303344,80.859666
Centrodora,xiphidii,2,4.8417097,-157.9752029,21.2160437,-58.641689
Centrodora,zacateis,1,19.4325301,-99.1332101,19.4325301,-99.1332101
Coccobius,abdominis,1,26.5450001,117.842778,26.5450001,117.842778
Coccobius,addisoni,1,-31.8759834,147.2869493,-31.8759834,147.2869493
Coccobius,albiscutellum,1,26.5450001,117.842778,26.5450001,117.842778
Coccobius,aligarhensis,1,27.1303344,80.859666,27.1303344,80.859666
Coccobius,amala,1,27.1303344,80.859666,27.1303344,80.859666
Coccobius,annulicornis,23,26.2540493,-118.7559973,54.7023545,119.9999999
Coccobius,aspidiellae,1,10.3529588,76.5119752,10.3529588,76.5119752
