family,genus,species,num_orders,num_fam,num_spp
Aphelinidae,Coccophagus,kabulensis,1,1,1
Aphelinidae,Coccophagus,kvavadze,1,1,1
Aphelinidae,Coccophagus,lepidus,1,1,1
Aphelinidae,Coccophagus,leptospermi,0,0,0
Aphelinidae,Coccophagus,lii,0,0,0
Aphelinidae,Coccophagus,longiclavatus,1,2,4
Aphelinidae,Coccophagus,longicornis,1,1,2
Aphelinidae,Coccophagus,longifasciatus,1,1,10
Aphelinidae,Coccophagus,longipedicellus,1,1,1
Aphelinidae,Coccophagus,lucani,0,0,0
Aphelinidae,Coccophagus,lucidus,1,1,1
Aphelinidae,Coccophagus,luciensis,1,1,1
Aphelinidae,Coccophagus,lunai,0,0,0
Aphelinidae,Coccophagus,lutescens,1,1,3
Aphelinidae,Coccophagus,lycimnia,2,11,142
Aphelinidae,Coccophagus,maculipennis,1,1,2
Aphelinidae,Coccophagus,malthusi,1,1,3
Aphelinidae,Coccophagus,mangiferae,1,1,2
Aphelinidae,Coccophagus,margaritatus,1,2,2
Aphelinidae,Coccophagus,mariformis,1,1,1
Aphelinidae,Coccophagus,matsuyamensis,1,1,1
Aphelinidae,Coccophagus,mazatlan,1,1,1
Aphelinidae,Coccophagus,meghaianus,0,0,0
Aphelinidae,Coccophagus,merceti,1,1,1
Aphelinidae,Coccophagus,mexicanus,1,1,1
Aphelinidae,Coccophagus,mexicensis,1,1,2
Aphelinidae,Coccophagus,minor,1,1,1
Aphelinidae,Coccophagus,mixtus,0,0,0
Aphelinidae,Coccophagus,modestus,1,1,1
Aphelinidae,Coccophagus,multisetae,0,0,0
Aphelinidae,Coccophagus,narendrani,0,0,0
Aphelinidae,Coccophagus,neocomperei,1,1,1
Aphelinidae,Coccophagus,neserorum,1,1,1
Aphelinidae,Coccophagus,nesiotes,0,0,0
Aphelinidae,Coccophagus,nigrans,1,1,1
Aphelinidae,Coccophagus,nigricorpus,1,1,3
Aphelinidae,Coccophagus,nigricoxae,1,1,1
Aphelinidae,Coccophagus,nigritus,1,1,7
Aphelinidae,Coccophagus,nigropleurum,1,1,1
Aphelinidae,Coccophagus,nipponicus,1,1,3
Aphelinidae,Coccophagus,nubeculus,0,0,0
Aphelinidae,Coccophagus,nubes,1,1,6
Aphelinidae,Coccophagus,nympha,0,0,0
Aphelinidae,Coccophagus,obscurus,1,2,3
Aphelinidae,Coccophagus,ochraceus,1,1,13
Aphelinidae,Coccophagus,oculatipennis,1,1,1
Aphelinidae,Coccophagus,ophicus,0,0,0
Aphelinidae,Coccophagus,palaeolecanii,1,1,7
Aphelinidae,Coccophagus,pallidiceps,1,1,4
Aphelinidae,Coccophagus,pallidis,1,1,3
Aphelinidae,Coccophagus,parlobatae,1,1,1
Aphelinidae,Coccophagus,pellucidus,0,0,0
Aphelinidae,Coccophagus,perflavus,1,2,3
Aphelinidae,Coccophagus,perhispidus,1,1,1
Aphelinidae,Coccophagus,pernigritus,1,1,2
Aphelinidae,Coccophagus,philippiae,2,5,10
Aphelinidae,Coccophagus,physokermis,1,1,1
Aphelinidae,Coccophagus,piceae,1,1,3
Aphelinidae,Coccophagus,pisinnus,1,1,1
Aphelinidae,Coccophagus,planus,1,1,1
Aphelinidae,Coccophagus,poei,0,0,0
Aphelinidae,Coccophagus,princeps,1,1,1
Aphelinidae,Coccophagus,prinslooi,1,1,1
Aphelinidae,Coccophagus,probus,1,1,2
Aphelinidae,Coccophagus,propodealis,0,0,0
Aphelinidae,Coccophagus,provisus,1,1,1
Aphelinidae,Coccophagus,proximus,1,1,1
Aphelinidae,Coccophagus,pseudococci,1,3,16
Aphelinidae,Coccophagus,pseudopulvinariae,1,1,1
Aphelinidae,Coccophagus,pulchellus,1,2,8
Aphelinidae,Coccophagus,pulcher,0,0,0
Aphelinidae,Coccophagus,pulcini,0,0,0
Aphelinidae,Coccophagus,pulvinariae,1,2,30
Aphelinidae,Coccophagus,pumilus,1,1,3
Aphelinidae,Coccophagus,purpureus,0,0,0
Aphelinidae,Coccophagus,qenai,1,1,1
Aphelinidae,Coccophagus,quaestor,1,1,9
Aphelinidae,Coccophagus,redini,1,1,1
Aphelinidae,Coccophagus,restionis,1,1,1
Aphelinidae,Coccophagus,rjabovi,1,1,2
Aphelinidae,Coccophagus,robustus,1,1,1
Aphelinidae,Coccophagus,rosae,1,1,1
Aphelinidae,Coccophagus,ruizi,1,1,1
Aphelinidae,Coccophagus,rusti,1,1,11
Aphelinidae,Coccophagus,saintebeauvei,1,1,1
Aphelinidae,Coccophagus,saissetiae,1,1,4
Aphelinidae,Coccophagus,saltator,1,1,2
Aphelinidae,Coccophagus,samarae,0,0,0
Aphelinidae,Coccophagus,scutatus,1,2,3
Aphelinidae,Coccophagus,scutellaris,3,6,57
Aphelinidae,Coccophagus,secamonei,0,0,0
Aphelinidae,Coccophagus,semiatratus,1,1,2
Aphelinidae,Coccophagus,semicircularis,1,1,9
Aphelinidae,Coccophagus,sexvittatus,1,1,1
Aphelinidae,Coccophagus,shafeei,1,1,1
Aphelinidae,Coccophagus,shakespearella,1,1,1
Aphelinidae,Coccophagus,shillongensis,0,0,0
Aphelinidae,Coccophagus,sibiricus,1,1,1
Aphelinidae,Coccophagus,signatus,1,1,2
Aphelinidae,Coccophagus,signus,0,0,0
Aphelinidae,Coccophagus,silvestrii,1,2,12
Aphelinidae,Coccophagus,sostenesi,1,1,1
Aphelinidae,Coccophagus,spartanus,1,1,1
Aphelinidae,Coccophagus,specialis,1,1,1
Aphelinidae,Coccophagus,speciosus,1,2,3
Aphelinidae,Coccophagus,spectabilis,1,1,2
Aphelinidae,Coccophagus,spireae,0,0,0
Aphelinidae,Coccophagus,srilankensis,1,1,1
Aphelinidae,Coccophagus,subflavescens,0,0,0
Aphelinidae,Coccophagus,subochraceus,1,1,1
Aphelinidae,Coccophagus,subsignus,0,0,0
Aphelinidae,Coccophagus,sudhiri,0,0,0
Aphelinidae,Coccophagus,tamaulipecus,1,1,1
Aphelinidae,Coccophagus,tarongaensis,1,1,1
Aphelinidae,Coccophagus,teeceeni,0,0,0
Aphelinidae,Coccophagus,terani,1,1,5
Aphelinidae,Coccophagus,tetrastichoides,1,1,1
Aphelinidae,Coccophagus,thanhoaensis,1,1,1
Aphelinidae,Coccophagus,tibialis,1,1,5
Aphelinidae,Coccophagus,timberlakei,1,1,1
Aphelinidae,Coccophagus,tobiasi,0,0,0
Aphelinidae,Coccophagus,triangulatinotus,0,0,0
Aphelinidae,Coccophagus,triguttatus,0,0,0
Aphelinidae,Coccophagus,tropicanus,0,0,0
Aphelinidae,Coccophagus,tschirchii,1,2,7
Aphelinidae,Coccophagus,ussuriensis,1,1,1
Aphelinidae,Coccophagus,varius,1,1,2
Aphelinidae,Coccophagus,vegai,0,0,0
Aphelinidae,Coccophagus,viator,1,2,2
Aphelinidae,Coccophagus,vietnamicus,1,1,1
Aphelinidae,Coccophagus,yoshidae,1,1,14
Aphelinidae,Coccophagus,youngi,1,1,6
Aphelinidae,Coccophagus,zebratus,1,1,1
Aphelinidae,Coccophagus,zeyai,0,0,0
Aphelinidae,Coccophagus,zinniae,0,0,0
Aphelinidae,Encarsia,abatei,1,1,1
Aphelinidae,Encarsia,abundantia,1,1,4
Aphelinidae,Encarsia,acaudaleyrodis,1,1,4
Aphelinidae,Encarsia,accenta,1,1,2
Aphelinidae,Encarsia,adela,0,0,0
Aphelinidae,Encarsia,adusta,1,1,4
Aphelinidae,Encarsia,aethes,0,0,0
Aphelinidae,Encarsia,aethiopica,0,0,0
Aphelinidae,Encarsia,aferi,1,1,1
Aphelinidae,Encarsia,affectata,1,1,1
Aphelinidae,Encarsia,africana,1,1,1
Aphelinidae,Encarsia,albata,0,0,0
Aphelinidae,Encarsia,albiscutellum,1,1,2
Aphelinidae,Encarsia,alboscutellaris,0,0,0
Aphelinidae,Encarsia,aldrichi,1,1,2
Aphelinidae,Encarsia,alemansoori,1,1,1
Aphelinidae,Encarsia,aleurochitonis,1,1,4
Aphelinidae,Encarsia,aleurodici,1,1,4
Aphelinidae,Encarsia,aleuroilicis,2,7,8
Aphelinidae,Encarsia,aleuroplati,1,1,1
Aphelinidae,Encarsia,aleurothrixi,1,1,3
Aphelinidae,Encarsia,aleurotubae,1,1,1
Aphelinidae,Encarsia,altacima,1,1,1
Aphelinidae,Encarsia,altamira,1,1,1
Aphelinidae,Encarsia,alvaradoi,1,1,1
Aphelinidae,Encarsia,amabilis,0,0,0
Aphelinidae,Encarsia,ameca,1,1,1
Aphelinidae,Encarsia,americana,1,1,3
Aphelinidae,Encarsia,amicula,1,1,6
Aphelinidae,Encarsia,ancistrocera,1,1,2
Aphelinidae,Encarsia,ancora,1,1,1
Aphelinidae,Encarsia,andamanica,0,0,0
Aphelinidae,Encarsia,andrewi,1,1,2
Aphelinidae,Encarsia,antennata,0,0,0
Aphelinidae,Encarsia,antiopa,0,0,0
Aphelinidae,Encarsia,aonidiae,1,1,2
Aphelinidae,Encarsia,arabica,1,1,2
Aphelinidae,Encarsia,armata,1,1,1
Aphelinidae,Encarsia,armillata,1,1,1
Aphelinidae,Encarsia,aseta,1,1,4
Aphelinidae,Encarsia,asfar,0,0,0
Aphelinidae,Encarsia,ashmeadi,0,0,0
Aphelinidae,Encarsia,aspidioticola,2,3,6
Aphelinidae,Encarsia,assamensis,0,0,0
Aphelinidae,Encarsia,asterobemisiae,1,1,5
Aphelinidae,Encarsia,atlantica,1,1,1
Aphelinidae,Encarsia,aurantii,1,4,63
Aphelinidae,Encarsia,aureola,0,0,0
Aphelinidae,Encarsia,aurithorax,0,0,0
Aphelinidae,Encarsia,axacaliae,1,1,1
Aphelinidae,Encarsia,azimi,3,3,14
Aphelinidae,Encarsia,azteca,1,1,1
Aphelinidae,Encarsia,bangalorensis,0,0,0
Aphelinidae,Encarsia,barracas,0,0,0
Aphelinidae,Encarsia,basicincta,1,1,2
Aphelinidae,Encarsia,bella,1,2,3
Aphelinidae,Encarsia,bellottii,1,1,2
Aphelinidae,Encarsia,bennetti,1,1,1
Aphelinidae,Encarsia,berlesei,1,1,11
Aphelinidae,Encarsia,bicolor,1,1,3
Aphelinidae,Encarsia,bifasciata,1,1,1
Aphelinidae,Encarsia,bimaculata,1,1,4
