family,genus,species,mode,min_length,max_length,Nearctic,Neotropical,W.Palearctic,Ethiopian,E.Palearctic,Oriental,Australasian,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,nbr_country,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other.Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,pair,min_dev,max_dev,eco
Torymidae,Megastigmus,atedius,sex,1.9,4,1,0,1,0,1,0,0,34,-149,64,105,48,-53,48,-84,18,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA,phyt
Torymidae,Megastigmus,borriesi,asex,2.4,3.7,0,0,1,0,1,0,0,36,10,62,138,51,81,56,105,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA,phyt
Torymidae,Megastigmus,brevicaudis,asex,2.4,2.4,1,0,1,0,1,0,0,41,-95,64,104,52,6,52,13,16,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,NA,NA,par
Torymidae,Megastigmus,cryptomeriae,sex,1.8,3,0,0,0,0,1,1,0,24,114,36,138,29,121,29,119,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,NA,NA,phyt
Torymidae,Megastigmus,hoffmeyeri,sex,1.9,3,1,0,1,0,0,0,0,34,-118,62,26,47,-56,42,-74,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA,phyt
Torymidae,Megastigmus,hypogeus,sex,3.9,5.1,0,0,0,1,0,0,0,0,38,0,38,0,38,0,38,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA,NA,phyt
Torymidae,Megastigmus,likiangensis,sex,2.3,2.4,0,0,0,0,0,1,0,25,103,25,103,25,103,25,103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA,phyt
Torymidae,Megastigmus,nigrovariegatus,sex,3.2,3.2,1,0,1,0,0,0,0,34,-149,64,2,43,-90,42,-89,26,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,NA,NA,par
Torymidae,Megastigmus,pictus,asex,1.9,3.3,0,0,1,0,1,0,0,38,-3,62,127,49,46,49,22,24,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA,phyt
Torymidae,Megastigmus,pinsapinis,asex,4,5.6,0,0,1,0,0,0,0,28,-7,46,13,38,1,40,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA,phyt
Torymidae,Megastigmus,pistaciae,asex,3.5,3.5,1,1,1,0,1,0,1,-25,-119,62,134,36,24,39,31,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA,NA,phyt
Torymidae,Megastigmus,rosae,asex,2.1,3.2,0,0,1,0,1,0,0,32,-83,56,71,44,29,47,36,16,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,NA,NA,par
Torymidae,Megastigmus,schimitscheki,sex,4.8,5.3,0,0,1,0,0,0,0,34,2,46,39,37,28,35,34,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA,phyt
Torymidae,Megastigmus,spermotrophus,sex,2.8,4.3,1,0,1,0,0,0,0,45,-128,62,26,52,-9,51,13,12,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,NA,NA,par
Torymidae,Megastigmus,strobilobius,sex,2.3,3.7,0,0,1,0,1,0,0,39,-3,63,104,52,29,51,22,29,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA,phyt
Torymidae,Megastigmus,suspectus,asex,3.5,5.7,0,0,1,0,1,0,0,28,-83,62,71,47,15,48,17,24,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,14,14,phyt
Torymidae,Megastigmus,transvaalensis,sex,2.4,2.7,0,1,1,1,0,0,0,-38,-156,46,56,11,-28,24,-8,15,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA,NA,phyt
Torymidae,Megastigmus,tsugae,sex,2.5,2.5,1,0,0,0,0,0,0,39,-128,54,-77,45,-108,44,-121,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA,phyt
Torymidae,Torymus,arundinis,sex,1.59,2.12,0,0,1,0,1,0,0,32,-83,60,143,48,17,49,17,16,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,25,NA,NA,par
Torymidae,Torymus,bedeguaris,asex,NA,NA,1,0,1,0,1,0,0,32,-128,60,75,45,-12,44,14,52,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA,NA,par
Torymidae,Torymus,impar,sex,3.5,3.9,0,0,1,0,1,0,0,32,-83,62,71,49,19,51,19,16,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA,NA,par
Trichogrammatidae,Megaphragma,amalphitanum,sex,0.225,0.275,0,0,1,0,0,0,0,39,-8,46,13,42,2,42,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA,NA,par
Trichogrammatidae,Megaphragma,mymaripenne,asex,0.252,0.252,1,1,1,0,0,0,0,-38,-156,38,14,11,-78,19,-72,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA,NA,par
Trichogrammatidae,Trichogramma,alpha,sex,NA,NA,1,1,0,0,0,0,0,34,-119,54,-63,42,-91,39,-92,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA,par
Trichogrammatidae,Trichogramma,atopovirilla,asex,NA,NA,1,1,0,0,0,0,0,-25,-103,32,-37,5,-72,10,-76,12,26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,NA,NA,par
Trichogrammatidae,Trichogramma,aurosum,sex,NA,NA,1,0,1,0,1,0,0,34,-149,64,113,45,-73,44,-95,18,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,NA,NA,par
Trichogrammatidae,Trichogramma,australicum,sex,NA,NA,0,1,0,0,1,1,1,-28,-156,36,143,9,35,13,73,37,62,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,7,8,par
Trichogrammatidae,Trichogramma,bezdencovii,asex,NA,NA,0,1,1,0,0,0,0,-36,-72,54,45,33,16,46,30,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,par
Trichogrammatidae,Trichogramma,bourarachae,sex,NA,NA,0,0,1,0,0,0,0,32,-8,39,10,35,-2,34,-7,3,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,NA,NA,par
Trichogrammatidae,Trichogramma,cacaeciae,asex,NA,NA,1,1,1,0,1,1,0,-38,-119,59,127,41,15,46,22,40,58,0,0,0,1,1,1,0,1,0,0,0,0,0,0,24,NA,NA,par
Trichogrammatidae,Trichogramma,closterae,sex,NA,NA,0,0,0,0,1,1,0,30,114,42,123,35,118,34,117,6,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA,par
