family,genus,species,reproduction,body_length_mm,distribution,coord_lower,coord_upper,number_loc,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,relation_group,development_time_days
Aphelinidae,Encarsia,Hispida-brasiliensis,asex,0.47,1-2-3-4,-38;-149,52;23,31,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,NA
Aphelinidae,Encarsia,Luteola-deserti,sex,0.49,1-2-3-5,-36;-119,42;35,17,19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,11-12
Aphelinidae,Encarsia,meritoria,both,0.60,1-2-3-4,-31;-119,46;35,15,21,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,11
Aphelinidae,Encarsia,oakeyensis,NA,NA,7,-21;143,-21;143,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Aphelinidae,Encarsia,protransvena,asex,0.70,WW,-38;-156,42;178,21,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,NA
Aphelinidae,Encarsia,smithi,sex,0.80,1-2-4-5-6,-31;-156,37;158,27,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,NA
Aphelinidae,Encarsia,Sophia-transvena,sex,0.45-0.70,WW,-38;-156,42;143,61,39,1,1,1,1,0,0,0,1,0,0,0,0,0,0,14,13-14
Aphelinidae,Encarsia,strenua,asex,1.10,1-2-3-5-6,-1;-119,40;138,19,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,NA
Aphelinidae,Encarsia,suzannae,sex,NA,1,32 ;-100,32 ;-100,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,NA
Aphelinidae,Encarsia,tabacivora,asex,NA,1-2,-19;-119,37;45,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,NA
Aphelinidae,Eretmocerus,debachi,asex,0.789,1-3,31;-119,46;54,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,14-15
Aphelinidae,Eretmocerus,eremicus,sex,0.45-0.55,1-2-3,23;-119,51;54,12,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,17
Aphelinidae,Eretmocerus,haldemani,sex,0.598,1-2-3-6,-9;-119,48;81,11,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,NA
Aphelinidae,Eretmocerus,hayati,sex,0.8-1,1-6-7,21;-119,37;79,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14-17
Aphelinidae,Eretmocerus,mundus,both,0.6-0.7,1-3-4-5-6-7,-21;-119,55;167,49,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16-18
Aphelinidae,Eretmocerus,warrae,asex,NA,7,-31;-97,29;147,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,NA
Torymidae,Megastigmus,atedius,sex,1.9-4.0,1-3-5,34;-149,64;105,18,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA
Torymidae,Megastigmus,borriesi,asex,2.4-3.7,3-5,36;10,62;138,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA
Torymidae,Megastigmus,brevicaudis,asex,2.4,1-3-5,41;-95,64;104,16,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,NA
Torymidae,Megastigmus,cryptomeriae,sex,1.8-3.0,5-6,24;114,36;138,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,NA
Torymidae,Megastigmus,hoffmeyeri,sex,1.9-3.0,1-3,34;-118,62;26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA
Torymidae,Megastigmus,hypogeus,sex,3.9-5.1,4,0;38,0;38,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA
Torymidae,Megastigmus,likiangensis,sex,2.3-2.4,6,25;103,25;103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA
Torymidae,Megastigmus,nigrovariegatus,sex,3.2,1-3,34;-149,64;2,26,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,NA
Torymidae,Megastigmus,pictus,asex,1.9-3.3,3-5,38;-3,62;127,24,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA
Torymidae,Megastigmus,pinsapinis,asex,4.0-5.6,3,28;-7,46;13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA
Torymidae,Megastigmus,pistaciae,asex,3.5,1-2-3-5-7,-25;-119,62;134,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA
Torymidae,Megastigmus,rosae,asex,2.1-3.2,3-5,32;-83,56;71,16,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,NA
Torymidae,Megastigmus,schimitscheki,sex,4.8-5.3,3,34;2,46;39,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA
Torymidae,Megastigmus,spermotrophus,sex,2.8-4.3,1-3,45;-128,62;26,12,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,NA
Torymidae,Megastigmus,strobilobius,sex,2.3-3.7,3-5,39;-3,63;104,29,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA
Torymidae,Megastigmus,suspectus,asex,3.5-5.7,3-5,28;-83,62;71,24,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,14
Torymidae,Megastigmus,transvaalensis,sex,2.4-2.7,2-3-4,-38;-156,46;56,15,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA
Torymidae,Megastigmus,tsugae,sex,2.5,1,39;-128,54;-77,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA
