family,genus,species,nbr_country,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,host_order,host_fam,host_spp
Aphelinidae,Aphytis,mytilaspidis,81,-41.500083,-124.9999999,59.6749712,172.8344077,35.2117786414,-9.39810897225,40.3936294,8.2319736,1,3,88
Aphelinidae,Aphytis,neuter,4,38.6281733,34.9249653,41.32373,70.8156541,39.57201085,57.271472525,39.16807005,61.67263535,1,1,1
Aphelinidae,Aphytis,newtoni,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphytis,notialis,2,-34.9964962,-71.3187696,-31.7613364,-64.9672816,-33.3789163,-68.1430256,-33.3789163,-68.1430256,1,1,4
Aphelinidae,Aphytis,opuntiae,3,39.000041,-4.0031039,42.6384261,21.9999569,40.5470899667,10.2237166667,40.0028028,12.674297,1,1,2
Aphelinidae,Aphytis,paramaculicornis,10,-28.8166235,-118.7559973,41.6809707,76.7972892,26.2734974,30.20531793,31.9083884,43.1907855,1,1,11
Aphelinidae,Aphytis,perissoptroides,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphytis,philippinensis,6,10.9094334,29.2675469,26.4073841,122.7312101,18.9962290667,85.42350715,18.8280795,85.8108325,1,1,7
Aphelinidae,Aphytis,phoenicis,3,25.6242618,29.2675469,30.8760272,42.3528328,27.5847794333,35.5406331,26.2540493,35.0015196,1,1,1
Aphelinidae,Aphytis,pilosus,1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,2,3
Aphelinidae,Aphytis,pinnaspidis,6,-22.2752761,-99.1333415,19.4326009,78.3665347,4.6624063,-19.114455,12.3547358,-40.36410355,1,1,5
Aphelinidae,Aphytis,proclia,89,-34.9964962,-157.9752029,64.6863136,143.448533,36.7515844034,4.63239250555,40.0028028,14.4808369,2,5,70
Aphelinidae,Aphytis,punctaticorpus,1,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,0,0,0
